asset_id,male,female,unknownUsers,percentMale,percentFemale,near_even,total_interactions
4226242,0,1,1,0%,100%,0,2
4226244,0,0,1,NaN%,NaN%,0,1
4226246,0,0,1,NaN%,NaN%,0,1
4226250,0,1,0,0%,100%,0,1
4226253,0,1,0,0%,100%,0,1
4226264,0,0,1,NaN%,NaN%,0,1
4226277,0,0,1,NaN%,NaN%,0,1
4226281,0,0,1,NaN%,NaN%,0,1
4226288,0,0,1,NaN%,NaN%,0,1
4226300,0,1,0,0%,100%,0,1
4226301,0,1,0,0%,100%,0,1
4226325,0,1,0,0%,100%,0,1
4226579,0,1,1,0%,100%,0,2
4226710,0,0,1,NaN%,NaN%,0,1
4226768,0,0,1,NaN%,NaN%,0,1
4226798,2,1,4,67%,33%,0,7
4226800,1,0,3,100%,0%,0,4
4226801,0,1,1,0%,100%,0,2
4226802,0,1,1,0%,100%,0,2
4226803,1,1,0,50%,50%,1,2
4226804,0,1,1,0%,100%,0,2
4226805,7,9,23,44%,56%,0,39
4226806,1,1,3,50%,50%,1,5
4226807,2,1,3,67%,33%,0,6
4226808,1,0,3,100%,0%,0,4
4226809,0,0,1,NaN%,NaN%,0,1
